KASARWADI,18.607653,73.821025
PIMPRI,18.623186,73.802195
CHINCHWAD,18.6397989,73.7918239
AKURDI,18.64842,73.7646
DEHU ROAD,18.680381,73.734369
BEGDEWADI,18.70068,73.708823
GHORAWADI,18.7202153,73.6970002
TALEGAON,18.735699,73.671787
VADGAON,18.742217,73.637368
KANHE,18.762099,73.593715
KAMSHET,18.766857,73.552263
MALAVLI,18.744236,73.480282
LONAVLA,18.7496111,73.4073544
SHEMATIKHAR,18.9092959,73.0158101
NHAVA SHEVA,18.8982773,72.988171
DRONAGIRI,18.8813572,72.9646086
URAN,18.8784007,72.9524221
